legal_name,city,county,state,vertical,naics_code,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,year_established,entity_status,is_distressed,score_run_id,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,deep_dive_pending,data_sources
Garage Door Doctor (Katy),Katy,Harris,TX,garage_door,238290,https://katygaragedoordoctor.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),37,Tenure unverified — neutral sellability base; -8 brand-affiliation caveat (Possible brand duplicate),22,No clear coasting tells,84,Katy = sun-belt exurban / new-construction zone (+5 bonus),35,D_pass,Score 35 (D_pass) | L1=22 L2=37 L3=22 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/sugar-land
Garage Door Guys of Houston,Houston,Harris,TX,garage_door,238290,https://garagedoorguyshouston.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Houston = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/houston
Discount Garage Doors of Houston,Houston,Harris,TX,garage_door,238290,https://houstondiscountdoorrepair.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Houston = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/houston
Ohana Garage Doors,Houston,Harris,TX,garage_door,238290,https://ohanagaragedoorrepair.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Houston = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/houston
German Garage Doors,Houston,Harris,TX,garage_door,238290,https://germangaragedoors.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Houston = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/houston
ACJ Houston Garage Doors,Houston,Harris,TX,garage_door,238290,https://acjhoustongaragedoors.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Houston = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/houston
R B Garage Doors,Houston,Harris,TX,garage_door,238290,https://rbgaragedoorshouston.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Houston = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/houston
PS Garage Door,Houston,Harris,TX,garage_door,238290,https://psgaragedoor.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Houston = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/houston
T.A.C. Garage Door Service,Houston,Harris,TX,garage_door,238290,https://tacgaragedoorservicetx.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Houston = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/houston
Fix N Go Garage Door Repair,Houston,Harris,TX,garage_door,238290,https://fixngotx.net,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),40,Tenure unverified — neutral sellability base; -5 multi-market structure complicates sale,22,No clear coasting tells,81,Houston = sun-belt growth metro,35,D_pass,Score 35 (D_pass) | L1=22 L2=40 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/houston
Aaron's Garage Door Service (Bandera Rd location),San Antonio,Bexar,TX,garage_door,238290,https://aaronsgaragedoor.com,,,,29,29,1997,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,26,Owner age unknown — weak proxy applied (cap L1 low); +4 for 29 yrs personal tenure,73,Clean solo-owner 29 yr operation,22,No clear coasting tells,81,San Antonio = sun-belt growth metro,20,D_pass,Score 20 (D_pass) | L1=26 L2=73 L3=22 L4=81 | Confidence=low (data_completeness=0.50) | Duplicate/satellite of primary record — DROP,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/san-antonio
Garage Door Specialists,San Antonio,Bexar,TX,garage_door,238290,https://sanantoniogaragedoorspecialist.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,San Antonio = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/san-antonio
ASAP Garage Doors,San Antonio,Bexar,TX,garage_door,238290,https://asapgaragedoorstx.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,San Antonio = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/san-antonio
Garage Guru,San Antonio,Bexar,TX,garage_door,238290,https://sagarageguru.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,San Antonio = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/san-antonio
Jerry's Garage Doors,San Antonio,Bexar,TX,garage_door,238290,https://jerrygaragedoors.com,Jerry [surname unknown],,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,San Antonio = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/san-antonio
Perry's Garage Door Services,Universal City,Bexar,TX,garage_door,238290,https://perrysgaragedoor.com,Perry [surname unknown] or [firstname] Perry,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,84,Universal City = sun-belt exurban / new-construction zone (+5 bonus),37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/san-antonio
Premium Overhead Door Inc.,San Antonio,Bexar,TX,garage_door,238290,https://premiumoverheaddoor.com,,58,tenure_proxy_25yr_founder_typical_55_65,25,25,2000,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,71,Owner age ~58 approaching retirement; +4 for 25 yrs personal tenure,65,Clean solo-owner 25 yr operation; -8 brand-affiliation caveat (Overhead Door / Red Ribbon distributor uncertain),22,No clear coasting tells,81,San Antonio = sun-belt growth metro,56,C_watch,Score 56 (C_watch) | L1=71 L2=65 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/san-antonio
DRL Garage Doors,San Antonio,Bexar,TX,garage_door,238290,https://drl-garagedoors.com,,55,tenure_proxy_20yr_founder,20,20,2006,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,47,"Owner age ~55 pre-retirement, longer runway",73,Clean solo-owner 20 yr operation,22,No clear coasting tells,81,San Antonio = sun-belt growth metro,51,C_watch,Score 51 (C_watch) | L1=47 L2=73 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/san-antonio
Austin Garage Door,Austin,Travis,TX,garage_door,238290,https://austinsgaragedoor.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Austin = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/austin
Austin Garage Door Mechanics,Austin,Travis,TX,garage_door,238290,https://austingaragedoormechanics.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Austin = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/austin
Garage Door On,Austin,Travis,TX,garage_door,238290,https://garagedooron.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Austin = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/austin
AA Affordable Austin Overhead Door,Austin,Travis,TX,garage_door,238290,https://garagedoor-austin.com,,65,yellowpages_era_naming_proxy,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,82,Owner age ~65 entering retirement window,37,Tenure unverified — neutral sellability base; -8 brand-affiliation caveat (Overhead Door / Red Ribbon distributor uncertain),22,No clear coasting tells,81,Austin = sun-belt growth metro,53,C_watch,Score 53 (C_watch) | L1=82 L2=37 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/austin
Austin Overhead Door Company,Austin,Travis,TX,garage_door,238290,https://austinoverheaddoorcompany.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),37,Tenure unverified — neutral sellability base; -8 brand-affiliation caveat (Overhead Door / Red Ribbon distributor uncertain),22,No clear coasting tells,81,Austin = sun-belt growth metro,35,D_pass,Score 35 (D_pass) | L1=22 L2=37 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/austin
Matamoros Garage Doors,Kyle,Hays,TX,garage_door,238290,https://matamorosdoors.com,Matamoros [first name unknown],,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,84,Kyle = sun-belt exurban / new-construction zone (+5 bonus),37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/austin
Austin's Greater Garage Doors,Pflugerville,Travis,TX,garage_door,238290,https://austinsgaragedoors.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,84,Pflugerville = sun-belt exurban / new-construction zone (+5 bonus),37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/round-rock
The Up & Up Garage Doors,Austin,Travis,TX,garage_door,238290,https://theupandupdoors.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,81,Austin = sun-belt growth metro,37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=81 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/round-rock
VIP Garage Door Services,Round Rock,Williamson,TX,garage_door,238290,https://vipgaragedoorservices.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,84,Round Rock = sun-belt exurban / new-construction zone (+5 bonus),37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/round-rock
The Door Company (custom door center),Georgetown,Williamson,TX,garage_door,238290,https://customdoorcenter.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,84,Georgetown = sun-belt exurban / new-construction zone (+5 bonus),37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/round-rock
Garage Doors Repair Tomball TX,Tomball,Harris,TX,garage_door,238290,https://garagedoorsrepairtomball.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,84,Tomball = sun-belt exurban / new-construction zone (+5 bonus),35,D_pass,Score 35 (D_pass) | L1=22 L2=45 L3=22 L4=84 | Confidence=low (data_completeness=0.50) | SEO/lead-gen domain pattern,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/the-woodlands
Lake Woodlands Garage Door,The Woodlands,Montgomery,TX,garage_door,238290,https://lakewoodlandsgaragedoor.com,,,,,,,unknown,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,22,No clear coasting tells,84,The Woodlands = sun-belt exurban / new-construction zone (+5 bonus),37,D_pass,Score 37 (D_pass) | L1=22 L2=45 L3=22 L4=84 | Confidence=low (data_completeness=0.50),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.5,False,https://www.expertise.com/home-improvement/garage-doors/texas/the-woodlands
